beta channel, neutron ToF, beta_time (s)
2, 229.250, 12.3276
3, 185.802, 12.3283
2, 140.298,  12.329
3, 235.223,  12.335
2, 174.925, 12.3352, 12.3352
3, 174.925, 12.3352
2, 157.424, 12.3416
3, 219.328, 12.3454
3, 129.906, 12.3542
3, 473.001, 12.3579
3, 197.830, 12.3622
3, 210.680, 12.3641
3, 224.713, 12.3792
2, 220.162, 12.3805
3, 192.499,  12.382
3, 249.761, 12.3935
3, 245.597, 12.3961
2, 176.768, 12.3986
3, 120.930, 12.4077
3, 254.428, 12.4102
2, 284.716, 12.4113
2, 169.227, 12.4128
3, 192.844, 12.4145
2, 319.116, 12.4181
3, 597.348, 12.4226
2, 207.154, 12.4307
3, 195.156, 12.4367
3, 189.619, 12.4484
2, 261.405,  12.461
3, 261.405,  12.461
3,  87.361, 12.4675
2, 205.266, 12.4677
3, 534.069, 12.4782
3, 125.738, 12.4809
3, 146.894, 12.4868
2, 140.949, 12.4962
3, 179.823,  12.497
2, 459.131, 12.4997
3, 343.915, 12.5075
3, 241.516, 12.5128
2, 567.000, 12.5242
3, 567.000, 12.5242
3, 322.248, 12.5242
3, 507.468, 12.5271
3, 321.516, 12.5341
3, 118.505, 12.5357
3, 348.554, 12.5375
3, 343.798, 12.5375
3, 359.601, 12.5384
3, 204.620, 12.5406
2, 207.984, 12.5438
2, 201.012, 12.5445
3, 193.993, 12.5519
3, 182.460, 12.5579
3, 225.237, 12.5606
2, 183.733, 12.5606
2, 252.070, 12.5622
2, 250.357, 12.5622
3, 252.070, 12.5622
3, 250.357, 12.5622
3, 238.291, 12.5658
3, 550.455, 12.5678
3, 173.982, 12.5678
2, 192.686, 12.5732
3, 139.618, 12.5825
2, 196.359, 12.5838
3, 204.865, 12.5873
2, 188.070, 12.5952
2, 249.433,    12.6
3, 304.905, 12.6039
2, 478.188, 12.6039
3, 223.275, 12.6067
3, 215.430, 12.6132
3, 155.183, 12.6138
2, 165.013, 12.6146
3, 192.584, 12.6234
3, 177.443, 12.6252
3, 348.147,  12.628
3, 509.678,  12.628
3, 140.686, 12.6287
3, 217.431,   12.63
3, 406.649, 12.6314
3, 181.648,  12.634
2, 241.072,  12.641
2, 141.003, 12.6446
3, 206.422, 12.6468
3, 114.094, 12.6793
3, 203.561, 12.6862
2, 142.729, 12.6863
3, 256.331, 12.6873
2, 126.389, 12.6874
2, 158.397, 12.6877
2, 262.684, 12.6877
3, 164.678, 12.6938
3, 238.178, 12.6948
2, 615.219, 12.6974
2, 209.865, 12.6974
2, 311.676, 12.7034
2, 167.705, 12.7107
2, 616.943, 12.7186
3, 549.401, 12.7244
3, 549.113, 12.7244
2, 196.807, 12.7352
3, 200.662, 12.7387
3, 175.994, 12.7396
3, 171.786, 12.7426
2, 247.549, 12.7431
3, 222.147, 12.7517
3, 181.991, 12.7641
2, 184.074, 12.7797
3, 184.074, 12.7797
3, 478.924, 12.7805
3, 244.178, 12.7815
3, 137.152, 12.8222
3, 183.049, 12.8318
2, 138.444, 12.8319
2, 138.562, 12.8319
3, 123.487, 12.8437
3, 124.976, 12.8437
2, 276.625, 12.8515
3, 203.591, 12.8574
3, 348.452,   12.86
3, 261.423, 12.8667
2, 266.904, 12.8705
3,  77.158, 12.8729
3,  77.942, 12.8729
2, 269.884, 12.8849
2, 523.397, 12.8916
3, 231.926, 12.8929
2, 491.718, 12.8974
3, 115.490, 12.9017
3, 145.636, 12.9055
3, 185.525, 12.9055
3, 449.463,  12.906
3, 310.926, 12.9172
3, 140.983, 12.9192
3, 301.146, 12.9268
3, 241.244, 12.9273
3, 225.531, 12.9297
2, 141.873, 12.9384
2, 1138.128, 12.9394
2, 1137.671, 12.9394
3, 1138.128, 12.9394, 12.9394
3, 1137.671, 12.9394, 12.9394
3, 233.426, 12.9567
3, 290.095, 12.9694
2, 153.457, 12.9701
2, 192.547, 12.9764
3, 203.148, 12.9828
3, 188.408, 12.9885
3, 634.531, 12.9938
3, 353.291, 12.9948
3, 128.638, 12.9958
2, 184.575, 12.9959
2, 270.689, 12.9983
2, 256.210, 12.9983
2, 202.976, 13.0035
3, 193.256, 13.0035
2, 552.695, 13.0061
3, 236.353, 13.0175
3, 333.311, 13.0198
2, 224.180, 13.0218
2, 144.152, 13.0314
3, 205.550, 13.0359
3, 210.808, 13.0359
3, 250.250, 13.0391
2, 386.836, 13.0419
3, 386.836, 13.0419
2, 225.199, 13.0484
2, 232.048, 13.0594
3, 232.048, 13.0594
3, 207.189, 13.0703
3, 201.722, 13.0764
2, 192.826, 13.0797
2, 177.451, 13.0799
2, 224.057, 13.0884
2, 166.544, 13.0921
3, 166.544, 13.0921
2, 168.880, 13.0924
2, 117.781, 13.0986
