beta channel, neutron ToF, beta_time (s)
2, 254.020,    8.65
3, 254.020,    8.65
3, 106.162, 8.69596
3, 179.791, 8.70899
3,  59.608, 8.70962
3,  65.054, 8.70962
3, 138.487, 8.72902
3, 134.768, 8.75081
3, 182.299, 8.76216
3, 183.153, 8.76456
2, 182.718, 8.77451
3, 120.758, 8.80711
3, 121.857, 8.80711
3, 183.344, 8.81551
3, 228.587, 8.81657
3, 120.697,  8.8232
2, 122.873, 8.82359
2, 167.961, 8.84022
3, 120.978, 8.84772
3, 125.862, 8.84772
3, 182.122, 8.86903
3, 212.185, 8.88972
3, 213.712,  8.9492
2, 618.187, 8.98246
2, 120.182, 8.99685
2, 120.229, 8.99685
3, 121.510, 9.02642
3, 463.453, 9.03445
2, 352.586, 9.04166
2, 176.556, 9.08485
3, 165.736, 9.19197
3, 271.351, 9.20921
3, 258.263, 9.20921
2, 151.081, 9.27197
2, 120.434, 9.31867
3, 270.228, 9.35339
2, 118.600, 9.36659
2, 115.578, 9.36835
3, 600.164, 9.39858
3, 300.947, 9.43727
2, 118.472,   9.443
2, 124.902,  9.4431
2, 115.259, 9.46466
2, 119.188, 9.47554
2, 230.444, 9.48487
2, 261.214, 9.49603
2, 116.696, 9.55685
2, 122.160, 9.60848
2, 285.099, 9.63051
3, 160.718, 9.63601
3, 175.155, 9.63601
3, 153.501, 9.66971
3, 174.684, 9.75983
3, 159.531, 9.78888
2, 147.383, 9.79157
3,  97.275, 9.89145
3, 123.643, 9.91878
2, 290.772, 9.92145
2, 173.355, 9.93398
2, 165.739, 9.94367
2, 260.969, 9.94684
3, 176.278, 9.99572
3, 174.803, 10.0879
3, 251.016, 10.1007
3, 101.126, 10.1832
3, 356.973, 10.2298
2, 277.333, 10.2549
3, 277.333, 10.2549
2, 323.708, 10.3027
2, 308.731, 10.3568
3, 190.091, 10.4012
3, 158.765, 10.4076
3, 306.924, 10.4181
2, 191.497, 10.4213
2,  99.108, 10.4455
2, 287.520, 10.4602
2, 289.044, 10.4602
3, 410.558, 10.4689
2, 123.614, 10.5353
3, 241.907, 10.5398
3, 101.424, 10.5504
2, 165.917, 10.5645
2, 102.113, 10.5803
2, 112.491, 10.5862
2, 387.673,   10.64
3, 178.122, 10.8405
2,  97.440, 10.8894
2, 175.341, 10.9047
3, 124.429, 10.9096
3, 415.949, 10.9349
3, 195.371, 11.0074
2, 589.663, 11.0591
3, 213.280, 11.1679
3, 227.477, 11.2212
3, 124.297, 11.2492
3, 148.897, 11.2744
3, 344.187, 11.3075
3, 115.076,  11.402
2, 120.151,  11.408
3, 113.524, 11.4447
2, 236.650, 11.4765
2, 124.088, 11.4788
2, -171.761, 11.4788
3, 124.088, 11.4788
3, -171.761, 11.4788
3, 128.119,  11.509
2, 122.926, 11.6236
2, 115.125, 11.6417
3,  98.105, 11.8534
3, 101.931, 11.9118
2, 123.191, 11.9249
2, 115.860, 11.9291
2,  92.651, 11.9291
2, 215.790,   12.02
2, 118.140,  12.162
2, 133.017, 12.1686
3, 169.610, 12.1704
3, 162.765, 12.1704
3, 203.514, 12.2096
3,  97.681, 12.2197
3, 122.784,  12.223
2, 189.944, 12.2315
3, 111.743, 12.2404
3, 661.692, 12.2535
3, 374.204, 12.2673
3, 190.318, 12.2746
2, 192.844, 12.2873
2, 197.416, 12.2873
3, 192.844, 12.2873
3, 197.416, 12.2873
3, 173.013, 12.2907
2, 118.858, 12.2972
3, 198.387,  12.303
3, 123.771, 12.3042
2, 118.634, 12.3074
3, 118.634, 12.3074
2, 194.810, 12.3175
2, 204.487, 12.3366
2, 123.380, 12.3414
3, 161.703, 12.3417
2, 116.463, 12.3479
2, 484.537, 12.3623
3, 231.264, 12.3657
3, 292.408, 12.3673
3, 183.930, 12.3715
2, 325.520, 12.3797
2, 188.879, 12.3862
3, 157.493, 12.3862
3, 188.820, 12.3869
3, 181.743, 12.3869
2, 208.587, 12.3909
2, 212.729, 12.3939
3, 186.933, 12.4008
3, 544.239, 12.4047
2, 198.570,  12.407
3, 184.305, 12.4071
2, 234.187, 12.4078
2, 177.370, 12.4087
3, 185.494,   12.41
2, 311.072,  12.412
2, 325.681,  12.412
2, 316.618, 12.4157
2, 227.758, 12.4336
3, 444.756, 12.4375
3, 166.069, 12.4419
2, 167.613, 12.4426
2, 232.572, 12.4483
3, 216.900, 12.4522
